Federal Government Girls College (FGGC), Abia,SECONDARY
Federal Government College (FGC) Ohafia,Abia,SECONDARY
Federal Science and Technical College (FSTC) Ohanso,Abia,SECONDARY
Federal Government College (FGC) Nise,Anambra,SECONDARY
Federal Government Girls College (FGGC) Onitsha,Anambra,SECONDARY
Federal Science and Technical College (FSTC) Awka,Anambra,SECONDARY
Federal Government College (FGC) Enugu,Enugu,SECONDARY
Federal Government Girls College (FGGC) Lejja,Enugu,SECONDARY
Federal Government College (FGC) Okigwe,Imo,SECONDARY
Federal Government Girls College (FGGC) Owerri,Imo,SECONDARY
Federal Science and Technical College (FSTC) Oguta,Imo,SECONDARY
Federal Government College (FGC) Okposi,Ebonyi,SECONDARY
Federal Government Girls College (FGGC) Ezzamgbo,Ebonyi,SECONDARY
Federal Science and Technical College (FSTC) Amuzu,Ebonyi,SECONDARY
Federal Government College (FGC) Ganye,Adamawa,SECONDARY
Federal Government Girls College (FGGC) Yola,Adamawa,SECONDARY
Federal Science and Technical College (FSTC) Michika,Adamawa,SECONDARY
Federal Government College (FGC) Azare,Bauchi,SECONDARY
Federal Government Girls College (FGGC) Bauchi,Bauchi,SECONDARY
Federal Government College (FGC) Maiduguri,Borno,SECONDARY
Federal Government Girls College (FGGC) Monguno,Borno,SECONDARY
Federal Science and Technical College (FSTC) Lassa,Borno,SECONDARY
Federal Government College (FGC) Wukari,Taraba,SECONDARY
Federal Government Girls College (FGGC) Jalingo,Taraba,SECONDARY
Federal Science and Technical College (FSTC) Jalingo,Taraba,SECONDARY
Federal Government College (FGC) Buni-Yadi,Yobe,SECONDARY
Federal Government Girls College (FGGC) Potiskum,Yobe,SECONDARY
Federal Government College (FGC) Ikot-Ekepene,Akwa-Ibom,SECONDARY
Federal Government Girls College (FGGC) Ikot-Obio-Itong,Akwa-Ibom,SECONDARY
Federal Science and Technical College (FSTC) Uyo,Akwa-Ibom,SECONDARY
Federal Government College (FGC) Ikom,Cross-River,SECONDARY
Federal Government Girls College (FGGC) Calabar,Cross-River,SECONDARY
Federal Government College (FGC) Warri,Delta,SECONDARY
Federal Government Girls College (FGGC) Ibusa,Delta,SECONDARY
Federal Government College (FGC) Ibillo,Edo,SECONDARY
Federal Government Girls College (FGGC) Benin,Edo,SECONDARY
Federal Science and Technical College (FSTC) Uromi,Edo,SECONDARY
Federal Government College (FGC) Port-Harcourt,Rivers,SECONDARY
Federal Government Girls College (FGGC) Abuloma,Rivers,SECONDARY
Federal Science and Technical College (FSTC) Ahoada,Rivers,SECONDARY
Federal Government College (FGC) Odi,Bayelsa,SECONDARY
